[2025-11-03 00:08:27,556] INFO: Generating map…
[2025-11-03 00:08:28,259] INFO: Map generation complete.
[2025-11-03 00:08:29,396] INFO: Opened: VH-Map.html
[2025-11-03 00:15:38,810] INFO: Opened: VH-Map.html
[2025-11-03 00:15:43,602] INFO: Generating map…
[2025-11-03 00:15:44,305] INFO: Map generation complete.
[2025-11-03 00:15:46,113] INFO: Opened: VH-Map.html
[2025-11-03 00:20:16,830] INFO: Opened: VH-Map.html
[2025-11-03 00:20:40,371] INFO: Opened: VH-Map.html
[2025-11-03 21:40:02,799] INFO: Exporting Windows EXE to: C:\Users\parke\OneDrive\Desktop\exe-test
[2025-11-03 21:40:02,849] INFO: Windows export failed (exit 1). See export-windows-2025-11-03_214002.log
[2025-11-03 21:40:44,602] INFO: Exporting Windows EXE to: C:\Users\parke\OneDrive\Desktop\exe-test
[2025-11-03 21:40:44,638] INFO: Windows export failed (exit 1). See export-windows-2025-11-03_214044.log
[2025-11-03 21:42:24,045] INFO: Exporting Windows EXE to: C:\Users\parke\OneDrive\Desktop\exe-test
[2025-11-03 21:43:26,514] INFO: Windows export complete: C:\Users\parke\OneDrive\Desktop\exe-test\HavenControlRoom.exe
[2025-11-03 23:11:14,698] INFO: Generating iOS PWA to: C:\Users\parke\OneDrive\Desktop\Haven_Mdev\dist
[2025-11-03 23:11:15,284] INFO: Generated iOS PWA: C:\Users\parke\OneDrive\Desktop\Haven_Mdev\dist\Haven_Galaxy_iOS.html
[2025-11-03 23:11:16,477] INFO: ✅ iOS PWA bundle created: Haven_iOS_PWA_2025-11-03_231115.zip
[2025-11-03 23:11:16,493] INFO: 📱 Send the HTML file to iOS users - they can install via Safari!
[2025-11-03 23:23:02,974] INFO: Generating iOS PWA to: C:\Users\parke\OneDrive\Desktop\Haven_Mdev\dist
[2025-11-03 23:23:02,983] INFO: Generated iOS PWA: C:\Users\parke\OneDrive\Desktop\Haven_Mdev\dist\Haven_Galaxy_iOS.html
[2025-11-03 23:23:04,156] INFO: ✅ iOS PWA bundle created: Haven_iOS_PWA_2025-11-03_232302.zip
[2025-11-03 23:23:04,171] INFO: 📱 Send the HTML file to iOS users - they can install via Safari!
[2025-11-03 23:27:10,141] INFO: Generating iOS PWA to: C:\Users\parke\OneDrive\Desktop\Haven_Mdev\dist
[2025-11-03 23:27:10,144] INFO: Generated iOS PWA: C:\Users\parke\OneDrive\Desktop\Haven_Mdev\dist\Haven_Galaxy_iOS.html
[2025-11-03 23:27:11,319] INFO: ✅ iOS PWA bundle created: Haven_iOS_PWA_2025-11-03_232710.zip
[2025-11-03 23:27:11,335] INFO: 📱 Send the HTML file to iOS users - they can install via Safari!
